# FPGA Conv1 Quantization Report
# Source model: trained_model.pth
# Test accuracy: 68.15%
# Kernel size (N): 3
# Output channels (K): 8
# Output fraction bits: 8
#
#  Ch  Shift   Fw      Bias_Q       MaxAbsW
# ---  -----  ---  ----------  ------------
    0      8    8      -19037    0.33273873
    1      8    8         179    0.41190138
    2      8    8       -6388    0.28474855
    3      8    8       -2372    0.36569718
    4      8    8      -20952    0.28013742
    5      8    8          90    0.31115708
    6      8    8        -208    0.43418163
    7      8    8        -379    0.40732935
